athlete_id,name,gender,height_cm,date_of_birth,final_time_sec,pb_50m_seconds,l1_reaction_time,l1_breakout_distance,l1_breakout_time,l1_stroke_count,l1_total_time,l2_breakout_distance,l2_breakout_time,l2_stroke_count,l2_total_time,l1_split_25m,l2_split_25m,race_date,age_at_race,l1_underwater_speed,l1_surface_distance,l1_surface_time,l1_surface_speed,l1_stroke_length,l1_relative_stroke_length,l1_stroke_rate,l1_stroke_index,l1_breakout_pct,l1_swolf,l2_underwater_speed,l2_surface_distance,l2_surface_time,l2_surface_speed,l2_stroke_length,l2_relative_stroke_length,l2_stroke_rate,l2_stroke_index,l2_breakout_pct,l2_swolf,l1_first25_speed,l1_second25_speed,intra_lap1_fade,l2_first25_speed,l2_second25_speed,intra_lap2_fade,finish_vs_fresh_ratio,pacing_decay_ratio,si_retention,breakout_decay_ratio,surface_speed_decay_ratio,front_end_pct,relative_stroke_length_drop,stroke_rate_change,swolf_change,breakout_drop
1,Pan Zhanle,male,190,2004-08-04,46.4,21.92,0.62,13.2,4.0,30,22.28,8.0,3.0,34,24.12,9.9,11.3,2024-07-31,19.98904859685147,3.3,36.8,18.28,2.0131291028446388,1.2266666666666666,0.6456140350877193,98.46827133479212,2.46943836615609,0.264,48.28,2.6666666666666665,42.0,21.12,1.9886363636363635,1.2352941176470589,0.65015479876161,96.5909090909091,2.4565508021390374,0.16,55.120000000000005,2.525252525252525,2.0193861066235863,0.5058664186289388,2.2123893805309733,1.9500780031201248,0.26231137741084853,0.7722308892355695,1.082585278276481,0.9947811760788695,0.6060606060606061,0.9878334980237155,1.0164233576642336,-0.004540763673890669,-1.8773622438830273,6.840000000000003,5.199999999999999
2,David Popovici,male,191,2004-09-15,46.51,21.82,0.64,14.0,4.4,29,22.49,8.0,3.0,35,24.02,9.8,11.1,2025-07-31,20.87337440109514,3.1818181818181817,36.0,18.089999999999996,1.9900497512437816,1.2413793103448276,0.6499368116988626,96.18573797678278,2.4704065877509014,0.28,47.089999999999996,2.6666666666666665,42.0,21.02,1.9980970504281637,1.2,0.6282722513089005,99.90485252140819,2.3977164605137964,0.16,56.019999999999996,2.5510204081632653,1.9700551615445236,0.5809652466187416,2.2522522522522523,1.934984520123839,0.3172677321284134,0.7585139318885449,1.0680302356602935,0.9705756422454802,0.5714285714285714,1.004043767840152,1.03070577451879,0.021664560389962118,3.7191145446254126,8.93,6.0
3,Egor Kornev,male,195,2004-02-06,46.74,21.06,0.61,14.0,4.3,27,22.06,9.0,3.7,31,24.68,9.4,11.2,2026-08-12,22.51334702258727,3.255813953488372,36.0,17.759999999999998,2.027027027027027,1.3333333333333333,0.6837606837606838,91.21621621621622,2.7027027027027026,0.28,44.76,2.4324324324324325,41.0,20.98,1.954242135367016,1.3225806451612903,0.6782464846980976,88.6558627264061,2.5846428241950856,0.18,51.980000000000004,2.6595744680851063,1.9747235387045816,0.6848509293805247,2.232142857142857,1.8545994065281899,0.3775434506146673,0.6973293768545994,1.1187669990933817,0.9563178449521818,0.6428571428571429,0.9640927867810611,1.047483380816714,0.005514199062586211,-2.560353489810126,7.220000000000006,5.0
4,Jack Alexy,male,203,2003-01-19,46.81,21.32,0.68,13.4,4.1,26,22.45,8.0,3.0,32,24.36,9.7,11.3,2025-07-30,22.527036276522928,3.2682926829268295,36.6,18.35,1.994550408719346,1.4076923076923078,0.6934444865479349,85.01362397820162,2.8077132676587717,0.268,44.35,2.6666666666666665,42.0,21.36,1.9662921348314608,1.3125,0.646551724137931,89.88764044943821,2.5807584269662924,0.16,53.36,2.577319587628866,1.9607843137254901,0.616535273903376,2.2123893805309733,1.9142419601837675,0.29814742034720587,0.7427258805513017,1.0850779510022273,0.9191673724996403,0.5970149253731343,0.9858322588567571,1.0530018761726079,0.04689276241000384,4.874016471236587,9.009999999999998,5.4
5,Kristof Milak,male,190,2000-02-20,46.87,21.46,0.67,15.0,5.0,28,22.41,11.0,4.4,33,24.46,9.6,11.2,2026-08-12,26.47501711156742,3.0,35.0,17.41,2.0103388856978746,1.25,0.6578947368421053,96.496266513498,2.5129236071223433,0.3,45.41,2.5,39.0,20.060000000000002,1.9441674975074774,1.1818181818181819,0.6220095693779905,98.703888334995,2.2976524970542918,0.22,53.06,2.604166666666667,1.95160031225605,0.652566354410617,2.232142857142857,1.8853695324283557,0.3467733247145015,0.7239819004524886,1.0914770191878627,0.9143343993992051,0.7333333333333333,0.9670844609030053,1.0442684063373717,0.03588516746411485,2.207621821497,7.650000000000006,4.0
6,Cesar Cielo,male,195,1987-01-10,46.91,20.91,0.66,11.0,3.2,30,22.17,7.5,2.8,34,24.74,9.7,11.1,2009-07-30,22.55167693360712,3.4375,39.0,18.970000000000002,2.055877701634159,1.3,0.6666666666666667,94.88666315234579,2.672641012124407,0.22,48.97,2.678571428571429,42.5,21.939999999999998,1.937101185050137,1.25,0.6410256410256411,92.98085688240657,2.421376481312671,0.15,55.94,2.577319587628866,2.0048115477145143,0.5725080399143518,2.2522522522522523,1.8328445747800588,0.41940767747219354,0.7111436950146628,1.1159224176815514,0.9059864270315853,0.6818181818181818,0.9422258841128488,1.06025824964132,0.02564102564102566,-1.9058062699392195,6.969999999999999,3.5
7,Alain Bernard,male,196,1983-05-01,46.94,21.23,0.62,10.8,3.6,32,22.35,5.7,1.7,40,24.59,9.7,11.4,2009-04-23,25.97946611909651,3.0,39.2,18.75,2.090666666666667,1.225,0.6250000000000001,102.4,2.561066666666667,0.21600000000000003,50.75,3.3529411764705883,44.3,22.89,1.9353429445172563,1.1075,0.5650510204081632,104.84927916120576,2.143392311052861,0.114,62.89,2.577319587628866,1.9762845849802368,0.6010350026486293,2.1929824561403506,1.8953752843062928,0.2976071718340578,0.7354056103108415,1.1002237136465323,0.83691390737695,0.5277777777777778,0.9257061277984324,1.0527555346208197,0.05994897959183687,2.4492791612057516,12.14,5.1000000000000005
8,Caeleb Dressel,male,188,1996-08-16,46.96,21.04,0.61,14.5,4.5,29,22.29,10.0,3.9,35,24.67,9.5,11.5,2019-07-25,22.937713894592743,3.2222222222222223,35.5,17.79,1.9955030916245082,1.2241379310344827,0.6511371973587674,97.80775716694772,2.4427710259541393,0.29,46.79,2.5641025641025643,40.0,20.770000000000003,1.9258545979778523,1.1428571428571428,0.60790273556231,101.10736639383725,2.2009766834032596,0.2,55.77,2.6315789473684212,1.9546520719311964,0.6769268754372249,2.1739130434782608,1.8982536066818525,0.27565943679640825,0.7213363705391039,1.1067743382682818,0.9010163703507841,0.6896551724137931,0.9650972760007321,1.0594106463878328,0.0432344617964574,3.2996092268895296,8.980000000000004,4.5
9,Cameron Mcevoy,male,185,1994-05-13,47.04,21.44,0.67,13.2,3.7,32,22.54,8.5,3.7,38,24.5,9.8,11.3,2016-04-11,21.913757700205338,3.567567567567567,36.8,18.84,1.9532908704883225,1.15,0.6216216216216215,101.91082802547771,2.2462845010615706,0.264,50.84,2.2972972972972974,41.5,20.8,1.9951923076923077,1.0921052631578947,0.5903271692745377,109.61538461538461,2.178960020242915,0.17,58.8,2.5510204081632653,1.9623233908948197,0.5886970172684456,2.2123893805309733,1.893939393939394,0.3184499865915793,0.7424242424242424,1.0869565217391304,0.9700285156279898,0.6439393939393939,1.021451714046823,1.0513059701492535,0.031294452347083834,7.7045565899069,7.959999999999994,4.699999999999999
10,Eamon Sullivan,male,189,1985-08-30,47.05,21.28,0.65,12.2,3.1,32,22.44,7.0,2.0,39,24.61,9.7,11.4,2008-08-13,22.954140999315538,3.9354838709677415,37.8,19.34,1.9544984488107549,1.18125,0.625,99.27611168562565,2.308751292657704,0.244,51.34,3.5,43.0,22.61,1.9018133569217162,1.1025641025641026,0.5833672500339168,103.49402919062362,2.0968711371188156,0.14,61.61,2.577319587628866,1.9623233908948192,0.6149961967340469,2.1929824561403506,1.8925056775170326,0.300476778623318,0.7342922028766086,1.0967023172905526,0.9082273797906644,0.5737704918032788,0.9730441884356082,1.0545112781954886,0.04163274996608324,4.2179175049979705,10.269999999999996,5.199999999999999
